"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1850","testAddFewTags","Surefire suite","Sun May 11 16:57:58 GMT 2025","passed","Sun May 11 16:58:00 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testAddFewTags"
"","550","testGetSizeOfTable","Surefire suite","Sun May 11 16:57:57 GMT 2025","passed","Sun May 11 16:57:58 GMT 2025","selenidetests.tests.DynamicPageTest","Surefire test","selenidetests.tests.DynamicPageTest","testGetSizeOfTable"
"","968","testGetDropdownAnimals","Surefire suite","Sun May 11 16:58:02 GMT 2025","passed","Sun May 11 16:58:03 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownAnimals"
"","728","testDynamic","Surefire suite","Sun May 11 16:57:57 GMT 2025","passed","Sun May 11 16:57:57 GMT 2025","selenidetests.tests.DynamicPageTest","Surefire test","selenidetests.tests.DynamicPageTest","testDynamic"
"","514","testGetDropdownAnimals","Surefire suite","Sun May 11 16:58:03 GMT 2025","passed","Sun May 11 16:58:04 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownAnimals"
"","409","testGetTagsRemaining","Surefire suite","Sun May 11 16:58:00 GMT 2025","passed","Sun May 11 16:58:01 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testGetTagsRemaining"
"","7994","testOpenNewTab","Surefire suite","Sun May 11 16:57:48 GMT 2025","passed","Sun May 11 16:57:56 GMT 2025","selenidetests.tests.OpenNewTabTest","Surefire test","selenidetests.tests.OpenNewTabTest","testOpenNewTab"
"","785","testVerifyAccount","Surefire suite","Sun May 11 16:58:06 GMT 2025","passed","Sun May 11 16:58:07 GMT 2025","selenidetests.tests.AccountPageTest","Surefire test","selenidetests.tests.AccountPageTest","testVerifyAccount"
"","408","testRemoveAllTags","Surefire suite","Sun May 11 16:58:01 GMT 2025","passed","Sun May 11 16:58:01 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testRemoveAllTags"
"","506","testGetDropdownSettings","Surefire suite","Sun May 11 16:58:05 GMT 2025","passed","Sun May 11 16:58:06 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownSettings"
"","535","testGetDropdownAnimals","Surefire suite","Sun May 11 16:58:04 GMT 2025","passed","Sun May 11 16:58:04 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownAnimals"
"","370","testRemoveAllTagsByButton","Surefire suite","Sun May 11 16:58:01 GMT 2025","passed","Sun May 11 16:58:01 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testRemoveAllTagsByButton"
"","122","testVerifyHomePage","Surefire suite","Sun May 11 16:58:07 GMT 2025","passed","Sun May 11 16:58:07 GMT 2025","selenidetests.tests.HomPageTest","Surefire test","selenidetests.tests.HomPageTest","testVerifyHomePage"
"","290","testVerifyTitle","Surefire suite","Sun May 11 16:58:07 GMT 2025","passed","Sun May 11 16:58:07 GMT 2025","selenidetests.tests.AccountPageTest","Surefire test","selenidetests.tests.AccountPageTest","testVerifyTitle"
"","779","testGetDropdownSettings","Surefire suite","Sun May 11 16:58:04 GMT 2025","passed","Sun May 11 16:58:05 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownSettings"
"","507","testGetDropdownSettings","Surefire suite","Sun May 11 16:58:06 GMT 2025","passed","Sun May 11 16:58:06 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownSettings"
"","353","testAddOneTag","Surefire suite","Sun May 11 16:58:00 GMT 2025","passed","Sun May 11 16:58:00 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testAddOneTag"
"","673","testGetMoveItem","Surefire suite","Sun May 11 16:58:01 GMT 2025","passed","Sun May 11 16:58:02 GMT 2025","selenidetests.tests.SortableListTest","Surefire test","selenidetests.tests.SortableListTest","testGetMoveItem"
"","308","testGetTitle","Surefire suite","Sun May 11 16:58:02 GMT 2025","passed","Sun May 11 16:58:02 GMT 2025","selenidetests.tests.SortableListTest","Surefire test","selenidetests.tests.SortableListTest","testGetTitle"
