"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","296","testRemoveAllTagsByButton","Surefire suite","Tue Jul 15 21:58:50 GMT 2025","passed","Tue Jul 15 21:58:51 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testRemoveAllTagsByButton"
"","518","testGetDropdownSettings","Surefire suite","Tue Jul 15 21:58:55 GMT 2025","passed","Tue Jul 15 21:58:55 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownSettings"
"","377","testGetTitle","Surefire suite","Tue Jul 15 21:58:46 GMT 2025","passed","Tue Jul 15 21:58:47 GMT 2025","selenidetests.tests.SortableListTest","Surefire test","selenidetests.tests.SortableListTest","testGetTitle"
"get pop-up window","1173","testPopUpWindowShown","Surefire suite","Tue Jul 15 21:58:36 GMT 2025","passed","Tue Jul 15 21:58:37 GMT 2025","selenidetests.tests.PopUpWindowTest","Surefire test","selenidetests.tests.PopUpWindowTest","testPopUpWindowShown"
"","125","testVerifyHomePage","Surefire suite","Tue Jul 15 21:58:47 GMT 2025","passed","Tue Jul 15 21:58:47 GMT 2025","selenidetests.tests.HomPageTest","Surefire test","selenidetests.tests.HomPageTest","testVerifyHomePage"
"","266","testVerifyTitle","Surefire suite","Tue Jul 15 21:58:48 GMT 2025","passed","Tue Jul 15 21:58:48 GMT 2025","selenidetests.tests.AccountPageTest","Surefire test","selenidetests.tests.AccountPageTest","testVerifyTitle"
"","502","testGetDropdownAnimals","Surefire suite","Tue Jul 15 21:58:53 GMT 2025","passed","Tue Jul 15 21:58:53 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownAnimals"
"","829","testGoToSecondNestedFrame","Surefire suite","Tue Jul 15 21:58:45 GMT 2025","passed","Tue Jul 15 21:58:46 GMT 2025","selenidetests.tests.NestedFrameTest","Surefire test","selenidetests.tests.NestedFrameTest","testGoToSecondNestedFrame"
"","515","testGetSizeOfTable","Surefire suite","Tue Jul 15 21:58:51 GMT 2025","passed","Tue Jul 15 21:58:52 GMT 2025","selenidetests.tests.DynamicPageTest","Surefire test","selenidetests.tests.DynamicPageTest","testGetSizeOfTable"
"","904","testVerifyAccount","Surefire suite","Tue Jul 15 21:58:47 GMT 2025","passed","Tue Jul 15 21:58:48 GMT 2025","selenidetests.tests.AccountPageTest","Surefire test","selenidetests.tests.AccountPageTest","testVerifyAccount"
"","1163","testAddFewTags","Surefire suite","Tue Jul 15 21:58:48 GMT 2025","passed","Tue Jul 15 21:58:49 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testAddFewTags"
"","365","testAddOneTag","Surefire suite","Tue Jul 15 21:58:49 GMT 2025","passed","Tue Jul 15 21:58:50 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testAddOneTag"
"","349","testGetValueProgressBar","Surefire suite","Tue Jul 15 21:58:37 GMT 2025","passed","Tue Jul 15 21:58:38 GMT 2025","selenidetests.tests.ShadowDomTest","Surefire test","selenidetests.tests.ShadowDomTest","testGetValueProgressBar"
"","484","testGetDropdownSettings","Surefire suite","Tue Jul 15 21:58:54 GMT 2025","passed","Tue Jul 15 21:58:54 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownSettings"
"","395","testShowNestedFrame","Surefire suite","Tue Jul 15 21:58:46 GMT 2025","passed","Tue Jul 15 21:58:46 GMT 2025","selenidetests.tests.NestedFrameTest","Surefire test","selenidetests.tests.NestedFrameTest","testShowNestedFrame"
"","744","testPopUpWindowClose","Surefire suite","Tue Jul 15 21:58:35 GMT 2025","passed","Tue Jul 15 21:58:36 GMT 2025","selenidetests.tests.PopUpWindowTest","Surefire test","selenidetests.tests.PopUpWindowTest","testPopUpWindowClose"
"","490","showDropDown","Surefire suite","Tue Jul 15 21:58:52 GMT 2025","passed","Tue Jul 15 21:58:52 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","showDropDown"
"","10353","testFindCoveredElement","Surefire suite","Tue Jul 15 21:58:24 GMT 2025","passed","Tue Jul 15 21:58:35 GMT 2025","selenidetests.tests.CoveredElementTest","Surefire test","selenidetests.tests.CoveredElementTest","testFindCoveredElement"
"","550","testOpenNewTab","Surefire suite","Tue Jul 15 21:58:44 GMT 2025","passed","Tue Jul 15 21:58:45 GMT 2025","selenidetests.tests.OpenNewTabTest","Surefire test","selenidetests.tests.OpenNewTabTest","testOpenNewTab"
"","537","testDynamic","Surefire suite","Tue Jul 15 21:58:51 GMT 2025","passed","Tue Jul 15 21:58:51 GMT 2025","selenidetests.tests.DynamicPageTest","Surefire test","selenidetests.tests.DynamicPageTest","testDynamic"
"","420","testGetMoveItem","Surefire suite","Tue Jul 15 21:58:46 GMT 2025","passed","Tue Jul 15 21:58:46 GMT 2025","selenidetests.tests.SortableListTest","Surefire test","selenidetests.tests.SortableListTest","testGetMoveItem"
"","6522","testImproveProgressBar","Surefire suite","Tue Jul 15 21:58:38 GMT 2025","passed","Tue Jul 15 21:58:44 GMT 2025","selenidetests.tests.ShadowDomTest","Surefire test","selenidetests.tests.ShadowDomTest","testImproveProgressBar"
"","492","testGetDropdownSettings","Surefire suite","Tue Jul 15 21:58:54 GMT 2025","passed","Tue Jul 15 21:58:55 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownSettings"
"","337","testGetTagsRemaining","Surefire suite","Tue Jul 15 21:58:50 GMT 2025","passed","Tue Jul 15 21:58:50 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testGetTagsRemaining"
