"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","252","testGetTitle","Surefire suite","Tue Jul 15 21:30:58 GMT 2025","passed","Tue Jul 15 21:30:58 GMT 2025","selenidetests.tests.SortableListTest","Surefire test","selenidetests.tests.SortableListTest","testGetTitle"
"","463","testGetDropdownSettings","Surefire suite","Tue Jul 15 21:31:06 GMT 2025","passed","Tue Jul 15 21:31:06 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownSettings"
"","431","showDropDown","Surefire suite","Tue Jul 15 21:31:03 GMT 2025","passed","Tue Jul 15 21:31:04 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","showDropDown"
"","394","testAddOneTag","Surefire suite","Tue Jul 15 21:31:01 GMT 2025","passed","Tue Jul 15 21:31:01 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testAddOneTag"
"","337","testRemoveAllTagsByButton","Surefire suite","Tue Jul 15 21:31:02 GMT 2025","passed","Tue Jul 15 21:31:02 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testRemoveAllTagsByButton"
"","367","testShowNestedFrame","Surefire suite","Tue Jul 15 21:30:57 GMT 2025","passed","Tue Jul 15 21:30:57 GMT 2025","selenidetests.tests.NestedFrameTest","Surefire test","selenidetests.tests.NestedFrameTest","testShowNestedFrame"
"","437","testGetMoveItem","Surefire suite","Tue Jul 15 21:30:57 GMT 2025","passed","Tue Jul 15 21:30:58 GMT 2025","selenidetests.tests.SortableListTest","Surefire test","selenidetests.tests.SortableListTest","testGetMoveItem"
"","492","testGetDropdownAnimals","Surefire suite","Tue Jul 15 21:31:04 GMT 2025","passed","Tue Jul 15 21:31:05 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownAnimals"
"","494","testGetDropdownSettings","Surefire suite","Tue Jul 15 21:31:06 GMT 2025","passed","Tue Jul 15 21:31:06 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownSettings"
"","106","testVerifyHomePage","Surefire suite","Tue Jul 15 21:30:58 GMT 2025","passed","Tue Jul 15 21:30:58 GMT 2025","selenidetests.tests.HomPageTest","Surefire test","selenidetests.tests.HomPageTest","testVerifyHomePage"
"","387","testRemoveAllTags","Surefire suite","Tue Jul 15 21:31:01 GMT 2025","passed","Tue Jul 15 21:31:02 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testRemoveAllTags"
"","971","testVerifyAccount","Surefire suite","Tue Jul 15 21:30:58 GMT 2025","passed","Tue Jul 15 21:30:59 GMT 2025","selenidetests.tests.AccountPageTest","Surefire test","selenidetests.tests.AccountPageTest","testVerifyAccount"
"","956","testPopUpWindowClose","Surefire suite","Tue Jul 15 21:30:47 GMT 2025","passed","Tue Jul 15 21:30:48 GMT 2025","selenidetests.tests.PopUpWindowTest","Surefire test","selenidetests.tests.PopUpWindowTest","testPopUpWindowClose"
"","516","testGetDropdownAnimals","Surefire suite","Tue Jul 15 21:31:04 GMT 2025","passed","Tue Jul 15 21:31:04 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownAnimals"
"","312","testGetValueProgressBar","Surefire suite","Tue Jul 15 21:30:49 GMT 2025","passed","Tue Jul 15 21:30:49 GMT 2025","selenidetests.tests.ShadowDomTest","Surefire test","selenidetests.tests.ShadowDomTest","testGetValueProgressBar"
"","326","testGetTagsRemaining","Surefire suite","Tue Jul 15 21:31:01 GMT 2025","passed","Tue Jul 15 21:31:01 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testGetTagsRemaining"
"","439","testDynamic","Surefire suite","Tue Jul 15 21:31:02 GMT 2025","passed","Tue Jul 15 21:31:03 GMT 2025","selenidetests.tests.DynamicPageTest","Surefire test","selenidetests.tests.DynamicPageTest","testDynamic"
"","6527","testImproveProgressBar","Surefire suite","Tue Jul 15 21:30:49 GMT 2025","passed","Tue Jul 15 21:30:56 GMT 2025","selenidetests.tests.ShadowDomTest","Surefire test","selenidetests.tests.ShadowDomTest","testImproveProgressBar"
"","467","testGetDropdownSettings","Surefire suite","Tue Jul 15 21:31:05 GMT 2025","passed","Tue Jul 15 21:31:06 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownSettings"
"","703","testGoToSecondNestedFrame","Surefire suite","Tue Jul 15 21:30:56 GMT 2025","passed","Tue Jul 15 21:30:57 GMT 2025","selenidetests.tests.NestedFrameTest","Surefire test","selenidetests.tests.NestedFrameTest","testGoToSecondNestedFrame"
"","230","testVerifyTitle","Surefire suite","Tue Jul 15 21:30:59 GMT 2025","passed","Tue Jul 15 21:30:59 GMT 2025","selenidetests.tests.AccountPageTest","Surefire test","selenidetests.tests.AccountPageTest","testVerifyTitle"
"","1189","testAddFewTags","Surefire suite","Tue Jul 15 21:30:59 GMT 2025","passed","Tue Jul 15 21:31:01 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testAddFewTags"
"","535","testGetSizeOfTable","Surefire suite","Tue Jul 15 21:31:03 GMT 2025","passed","Tue Jul 15 21:31:03 GMT 2025","selenidetests.tests.DynamicPageTest","Surefire test","selenidetests.tests.DynamicPageTest","testGetSizeOfTable"
"get pop-up window","1160","testPopUpWindowShown","Surefire suite","Tue Jul 15 21:30:48 GMT 2025","passed","Tue Jul 15 21:30:49 GMT 2025","selenidetests.tests.PopUpWindowTest","Surefire test","selenidetests.tests.PopUpWindowTest","testPopUpWindowShown"
"","510","testOpenNewTab","Surefire suite","Tue Jul 15 21:30:56 GMT 2025","passed","Tue Jul 15 21:30:56 GMT 2025","selenidetests.tests.OpenNewTabTest","Surefire test","selenidetests.tests.OpenNewTabTest","testOpenNewTab"
"","481","testGetDropdownAnimals","Surefire suite","Tue Jul 15 21:31:05 GMT 2025","passed","Tue Jul 15 21:31:05 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownAnimals"
"","5762","testFindCoveredElement","Surefire suite","Tue Jul 15 21:30:41 GMT 2025","passed","Tue Jul 15 21:30:46 GMT 2025","selenidetests.tests.CoveredElementTest","Surefire test","selenidetests.tests.CoveredElementTest","testFindCoveredElement"
