"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","532","testDynamic","Surefire suite","Sun May 11 18:11:49 GMT 2025","passed","Sun May 11 18:11:50 GMT 2025","selenidetests.tests.DynamicPageTest","Surefire test","selenidetests.tests.DynamicPageTest","testDynamic"
"","364","testRemoveAllTags","Surefire suite","Sun May 11 18:11:52 GMT 2025","passed","Sun May 11 18:11:53 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testRemoveAllTags"
"","294","testRemoveAllTagsByButton","Surefire suite","Sun May 11 18:11:53 GMT 2025","passed","Sun May 11 18:11:53 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testRemoveAllTagsByButton"
"","104","testVerifyHomePage","Surefire suite","Sun May 11 18:12:00 GMT 2025","passed","Sun May 11 18:12:01 GMT 2025","selenidetests.tests.HomPageTest","Surefire test","selenidetests.tests.HomPageTest","testVerifyHomePage"
"","318","testAddOneTag","Surefire suite","Sun May 11 18:11:52 GMT 2025","passed","Sun May 11 18:11:52 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testAddOneTag"
"","580","testGetSizeOfTable","Surefire suite","Sun May 11 18:11:50 GMT 2025","passed","Sun May 11 18:11:50 GMT 2025","selenidetests.tests.DynamicPageTest","Surefire test","selenidetests.tests.DynamicPageTest","testGetSizeOfTable"
"","447","showDropDown","Surefire suite","Sun May 11 18:11:56 GMT 2025","passed","Sun May 11 18:11:56 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","showDropDown"
"","7213","testOpenNewTab","Surefire suite","Sun May 11 18:11:41 GMT 2025","passed","Sun May 11 18:11:49 GMT 2025","selenidetests.tests.OpenNewTabTest","Surefire test","selenidetests.tests.OpenNewTabTest","testOpenNewTab"
"","540","testGetMoveItem","Surefire suite","Sun May 11 18:11:55 GMT 2025","passed","Sun May 11 18:11:55 GMT 2025","selenidetests.tests.SortableListTest","Surefire test","selenidetests.tests.SortableListTest","testGetMoveItem"
"","721","testVerifyAccount","Surefire suite","Sun May 11 18:11:59 GMT 2025","passed","Sun May 11 18:12:00 GMT 2025","selenidetests.tests.AccountPageTest","Surefire test","selenidetests.tests.AccountPageTest","testVerifyAccount"
"","322","delete all tags","Surefire suite","Sun May 11 18:11:52 GMT 2025","passed","Sun May 11 18:11:52 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testGetTagsRemaining"
"","466","testGetDropdownSettings","Surefire suite","Sun May 11 18:11:59 GMT 2025","passed","Sun May 11 18:11:59 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownSettings"
"","949","testGetDropdownSettings","Surefire suite","Sun May 11 18:11:58 GMT 2025","passed","Sun May 11 18:11:59 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownSettings"
"","213","testVerifyTitle","Surefire suite","Sun May 11 18:12:00 GMT 2025","passed","Sun May 11 18:12:00 GMT 2025","selenidetests.tests.AccountPageTest","Surefire test","selenidetests.tests.AccountPageTest","testVerifyTitle"
"","1351","testAddFewTags","Surefire suite","Sun May 11 18:11:50 GMT 2025","passed","Sun May 11 18:11:52 GMT 2025","selenidetests.tests.TagsInputTest","Surefire test","selenidetests.tests.TagsInputTest","testAddFewTags"
"","471","testGetDropdownSettings","Surefire suite","Sun May 11 18:11:59 GMT 2025","passed","Sun May 11 18:11:59 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownSettings"
"","1216","testPopUpWindowShown","Surefire suite","Sun May 11 18:11:54 GMT 2025","passed","Sun May 11 18:11:55 GMT 2025","selenidetests.tests.PopUpWindowTest","Surefire test","selenidetests.tests.PopUpWindowTest","testPopUpWindowShown"
"","487","testGetDropdownAnimals","Surefire suite","Sun May 11 18:11:57 GMT 2025","passed","Sun May 11 18:11:57 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownAnimals"
"","685","testPopUpWindowClose","Surefire suite","Sun May 11 18:11:53 GMT 2025","passed","Sun May 11 18:11:54 GMT 2025","selenidetests.tests.PopUpWindowTest","Surefire test","selenidetests.tests.PopUpWindowTest","testPopUpWindowClose"
"","497","testGetDropdownAnimals","Surefire suite","Sun May 11 18:11:56 GMT 2025","passed","Sun May 11 18:11:57 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownAnimals"
"","234","testGetTitle","Surefire suite","Sun May 11 18:11:55 GMT 2025","passed","Sun May 11 18:11:56 GMT 2025","selenidetests.tests.SortableListTest","Surefire test","selenidetests.tests.SortableListTest","testGetTitle"
"","495","testGetDropdownAnimals","Surefire suite","Sun May 11 18:11:57 GMT 2025","passed","Sun May 11 18:11:58 GMT 2025","selenidetests.tests.MultiLevelDropDownTest","Surefire test","selenidetests.tests.MultiLevelDropDownTest","testGetDropdownAnimals"
